"original_title,""overview"",""popularity"",""release_date"",""vote_average"",""vote_count"",""budget"",""keywords"",""director"",""comentarios""",,,,,,,
"20,000 Leagues Under the Sea,""When a high school teacher is asked a question in class about Jesus, her reasoned response lands her in deep trouble and could expel God from the public square once and for all."",""696858"",""4/1/2016"",""57"",""72"",""5000000"",""christian"",""Harold Cronk"",""""",,,,,,,
"Ordet,""A disgruntled Mexican cop is forced to work with a teenage hacker to hunt down the criminals who killed his wife, and dismantle their operation."",""1569246"",""3/31/2016"",""52"",""17"",""3000000"","""",""Enrique Begn\u00e9"",""""",,,,,,,
"The Trouble with Harry,""The Devil's Carnival: Alleluia! is the second episode of The Devil's Carnival. The episode will revolve around the war between Hell and Heaven."",""6.74E+15"",""3/29/2016"",""60"",""2"",""0"",""carnival musical sequel devil dark carnival"",""Darren Lynn Bousman"",""""",,,,,,,
"Trapeze,""Fearing the actions of a god-like Super Hero left unchecked, Gotham Cityâ€™s own formidable, forceful vigilante takes on Metropolisâ€™s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than itâ€™s ever known before."",""155790452"",""3/23/2016"",""57"",""7004"",""250000000"",""dc comics vigilante superhero based on comic book revenge"",""Zack Snyder"",""""",,,,,,,
"Moby Dick,""The continuing adventures of the Portokalos family. A follow-up to the 2002 comedy, """"My Big Fat Greek Wedding."""""",""16027955"",""3/23/2016"",""55"",""322"",""18000000"",""comedy wedding"",""Kirk Jones"",""""",,,,,,,
"Love Me Tender,""All the people in this countryside area, can count on Jean-Pierre, the doctor who auscultates them, heals and reassures them day and night, 7 days a week. Now Jean-Pierre is sick, so he sees Natalie, a young doctor, coming from the hospital to assist him. But will she adapt to this new life and be able to replace the man that believed to be irreplaceable?"",""2651304"",""3/23/2016"",""60"",""63"",""0"",""hospital doctor"",""Thomas Lilti"",""""",,,,,,,
"12 Angry Men,""A faith based movie. A young girl suffering from a rare digestive disorder finds herself miraculously cured after surviving a terrible accident. Based on the book 'Three Miracles From Heaven' by Christy Beam."",""10248439"",""3/17/2016"",""67"",""186"",""16000000"",""miracle christian cure woman director accident"",""Patricia Riggen"",""""",,,,,,,
"The Bridge on the River Kwai,""Terrence J. stars as Charlie, a playboy who's convinced that relationships are dead. His two best friends, Donald Faison and Robert C. Riley, bet him that if he sticks to one woman for one month, he's bound to get attached. Charlie denies this until he crosses paths with the beautiful and mysterious Eva, played by singer/actress Cassie. They may agree to a casual affair, but eventually Charlie is questioning whether he may actually want more."",""3.81E+16"",""3/11/2016"",""52"",""42"",""0"",""bet match playboy fear of commitment best friend"",""Bille Woodruff"",""""",,,,,,,
"Cat on a Hot Tin Roof,""Smooth advertising executive David is in a relationship with yoga teacher Juliette. Then his eye is caught by Sophie, the girlfriend of his best friend Wim, a fashion photographer. Things get completely out of hand during a campaign for augmented reality-glasses, for which David designs an avatar of the coveted Sophie."",""150211"",""3/11/2016"",""54"",""25"",""1000000"",""virtual reality black and white"",""Benjamin Dickinson"",""""",,,,,,,
"Some Like It Hot,""Tells the story of Jesus Christ at age seven as he and his family depart Egypt to return home to Nazareth. Told from his childhood perspective, it follows young Jesus as he grows into his religious identity."",""1.88E+16"",""3/10/2016"",""64"",""30"",""18500000"",""egypt jesus christ gospel christian journey"",""Cyrus Nowrasteh"",""""",,,,,,,
"The Nun's Story,""After a car accident, Michelle awakens to find herself in a mysterious bunker with two men named Howard and Emmett. Howard offers her a pair of crutches to help her remain mobile with her leg injury sustained from the car crash and tells her to """"get good on those"""" before leaving the bunker. She has been given the information that there has been an alien attack and the outside world is poisoned. However, Howard and Emmett's intentions soon become questionable and Michelle is faced with a question: Is it better in here or out there?"",""5.37E+16"",""3/10/2016"",""68"",""2468"",""15000000"",""kidnapping bunker paranoia basement survivalist"",""Dan Trachtenberg"",""""",,,,,,,
"Solomon and Sheba,""Beatrice Prior and Tobias Eaton venture into the world outside of the fence and are taken into protective custody by a mysterious agency known as the Bureau of Genetic Welfare."",""86105615"",""3/9/2016"",""59"",""1998"",""110000000"",""based on novel revolution dystopia sequel dystopic future"",""Robert Schwentke"",""""",,,,,,,
"The Apartment,""Two brothers, desperate to break into the world of television and film, decide to enter a horror movie contest. And what could be more horrifying than the elusive snuff film?"",""60127"",""3/4/2016"",""0"",""0"",""0"",""snuff"",""Mitchell Altieri"",""""",,,,,,,
"Psycho,""In London for the Prime Minister's funeral, Mike Banning discovers a plot to assassinate all the attending world leaders."",""6.18E+16"",""3/2/2016"",""58"",""1621"",""60000000"",""london england terrorist terrorist attack"",""Babak Najafi"",""""",,,,,,,
"Elmer Gantry,""Inspired by true events, Eddie the Eagle is a feel-good story about Michael """"Eddie"""" Edwards (Taron Egerton), an unlikely but courageous British ski-jumper who never stopped believing in himself - even as an entire nation was counting him out. With the help of a rebellious and charismatic coach (played by Hugh Jackman), Eddie takes on the establishment and wins the hearts of sports fans around the world by making an improbable and historic showing at the 1988 Calgary Winter Olympics."",""29365851"",""2/26/2016"",""72"",""661"",""23000000"",""underdog olympic games ski jump biography sport"",""Dexter Fletcher"",""""",,,,,,,
"The Misfits,""A common thief joins a mythical god on a quest through Egypt."",""56257249"",""2/25/2016"",""53"",""1277"",""140000000"",""egypt underworld fight mythology nile"",""Alex Proyas"",""""",,,,,,,
"The Hustler,""Follows the epic Biblical story of the Resurrection, as told through the eyes of a non-believer. Clavius, a powerful Roman Military Tribune, and his aide Lucius, are tasked with solving the mystery of what happened to Jesus in the weeks following the crucifixion, in order to disprove the rumors of a risen Messiah and prevent an uprising in Jerusalem."",""16663797"",""2/19/2016"",""57"",""295"",""20000000"",""christianity jesus christ apostle crucifixion jerusalem"",""Kevin Reynolds"",""""",,,,,,,
"West Side Story,""A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town."",""29371987"",""2/19/2016"",""56"",""797"",""20000000"",""heist betrayal dirty cop"",""John Hillcoat"",""""",,,,,,,
"Judgment at Nuremberg,""Based on the incredible true story of Jesse Owens, the legendary athletic superstar whose quest to become the greatest track and field athlete in history thrusts him onto the world stage of the 1936 Olympics, where he faces off against Adolf Hitler's vision of Aryan supremacy. Starring Stephan James, Jason Sudeikis, Jeremy Irons, Carice Van Houten and William Hurt - Race is an enthralling film about courage, determination, tolerance, and friendship, and an inspiring drama about one man's fight to become an Olympic legend."",""229951"",""2/19/2016"",""71"",""478"",""5000000"",""olympic games biography sport historical figure nazi germany"",""Stephen Hopkins"",""""",,,,,,,
"Pocketful of Miracles,""New England in the 1630s: William and Katherine lead a devout Christian life with five children, homesteading on the edge of an impassable wilderness. When their newborn son vanishes and crops fail, the family turns on one another. Beyond their worst fears, a supernatural evil lurks in the nearby wood."",""50319662"",""2/19/2016"",""63"",""1434"",""3500000"",""witch new england 17th century"",""Robert Eggers"",""""",,,,,,,
"The Brain That Wouldn't Die,""A father and son go on the run after the dad learns his child possesses special powers."",""3.27E+16"",""2/18/2016"",""62"",""694"",""18000000"",""father son relationship helicopter fbi motel chase"",""Jeff Nichols"",""""",,,,,,,
